from	to
ENSG00000163930	ENSG00000109919
ENSG00000163930	ENSG00000110031
ENSG00000163930	ENSG00000110046
ENSG00000163930	ENSG00000110047
ENSG00000163930	ENSG00000110074
ENSG00000163930	ENSG00000110075
ENSG00000163930	ENSG00000110104
ENSG00000163930	ENSG00000110315
ENSG00000163930	ENSG00000110321
ENSG00000163930	ENSG00000110344
ENSG00000163930	ENSG00000110497
ENSG00000163930	ENSG00000110693
ENSG00000163930	ENSG00000110696
ENSG00000163930	ENSG00000110700
ENSG00000163930	ENSG00000110713
ENSG00000163930	ENSG00000110851
ENSG00000163930	ENSG00000110880
ENSG00000163930	ENSG00000110911
ENSG00000163930	ENSG00000110917
ENSG00000163930	ENSG00000110925
ENSG00000163930	ENSG00000110958
ENSG00000163930	ENSG00000111110
ENSG00000163930	ENSG00000111196
ENSG00000163930	ENSG00000111237
ENSG00000163930	ENSG00000111269
ENSG00000163930	ENSG00000111321
ENSG00000163930	ENSG00000111325
ENSG00000163930	ENSG00000111358
ENSG00000163930	ENSG00000111361
ENSG00000163930	ENSG00000111364
ENSG00000163930	ENSG00000111412
ENSG00000163930	ENSG00000111445
ENSG00000163930	ENSG00000111581
ENSG00000163930	ENSG00000111615
ENSG00000163930	ENSG00000111639
ENSG00000163930	ENSG00000111652
ENSG00000163930	ENSG00000111653
ENSG00000163930	ENSG00000111671
ENSG00000163930	ENSG00000111679
ENSG00000163930	ENSG00000111707
ENSG00000163930	ENSG00000111725
ENSG00000163930	ENSG00000111731
ENSG00000163930	ENSG00000111786
ENSG00000163930	ENSG00000111790
ENSG00000163930	ENSG00000111802
ENSG00000163930	ENSG00000111832
ENSG00000163930	ENSG00000112029
ENSG00000163930	ENSG00000112031
ENSG00000163930	ENSG00000112062
ENSG00000163930	ENSG00000112081
ENSG00000163930	ENSG00000112130
ENSG00000163930	ENSG00000112159
ENSG00000163930	ENSG00000112200
ENSG00000163930	ENSG00000112237
ENSG00000163930	ENSG00000112282
ENSG00000163930	ENSG00000112304
ENSG00000163930	ENSG00000112306
ENSG00000163930	ENSG00000112473
ENSG00000163930	ENSG00000112514
ENSG00000163930	ENSG00000112561
ENSG00000163930	ENSG00000112584
ENSG00000163930	ENSG00000112592
ENSG00000163930	ENSG00000112651
ENSG00000163930	ENSG00000112685
ENSG00000163930	ENSG00000112695
ENSG00000163930	ENSG00000112855
ENSG00000163930	ENSG00000113048
ENSG00000163930	ENSG00000113141
ENSG00000163930	ENSG00000113194
ENSG00000163930	ENSG00000113296
ENSG00000163930	ENSG00000113369
ENSG00000163930	ENSG00000113391
ENSG00000163930	ENSG00000113456
ENSG00000163930	ENSG00000113460
ENSG00000163930	ENSG00000113558
ENSG00000163930	ENSG00000113595
ENSG00000163930	ENSG00000113621
ENSG00000163930	ENSG00000113643
ENSG00000163930	ENSG00000113716
ENSG00000163930	ENSG00000113734
ENSG00000163930	ENSG00000113761
ENSG00000163930	ENSG00000113763
ENSG00000163930	ENSG00000113811
ENSG00000163930	ENSG00000113838
ENSG00000163930	ENSG00000113845
ENSG00000163930	ENSG00000113851
ENSG00000163930	ENSG00000113916
ENSG00000163930	ENSG00000113946
ENSG00000163930	ENSG00000113966
ENSG00000163930	ENSG00000114019
ENSG00000163930	ENSG00000114098
ENSG00000163930	ENSG00000114120
ENSG00000163930	ENSG00000114127
ENSG00000163930	ENSG00000114316
ENSG00000163930	ENSG00000114388
ENSG00000163930	ENSG00000114391
ENSG00000163930	ENSG00000114395
ENSG00000163930	ENSG00000114439
ENSG00000163930	ENSG00000114446
ENSG00000163930	ENSG00000114491
ENSG00000163930	ENSG00000114503
ENSG00000163930	ENSG00000114626
ENSG00000163930	ENSG00000114650
ENSG00000163930	ENSG00000114686
ENSG00000163930	ENSG00000114735
ENSG00000163930	ENSG00000114739
ENSG00000163930	ENSG00000114742
ENSG00000163930	ENSG00000114744
ENSG00000163930	ENSG00000114745
ENSG00000163930	ENSG00000114784
ENSG00000163930	ENSG00000114850
ENSG00000163930	ENSG00000114857
ENSG00000163930	ENSG00000114942
