ensembl_id	id	type
ENSG00000234108	17	del
ENSG00000234184	17	del
ENSG00000224326	17	del
ENSG00000227937	17	del
ENSG00000229752	17	del
ENSG00000235089	17	del
ENSG00000285179	17	del
ENSG00000088280	2	del
ENSG00000069702	17	del
ENSG00000117114	17	del
ENSG00000007968	2	del
ENSG00000137948	17	del
ENSG00000235052	2	del
ENSG00000117318	2	del
ENSG00000285802	2	del
ENSG00000197880	2	del
ENSG00000229239	2	del
ENSG00000142676	2	del
ENSG00000215875	17	del
ENSG00000227288	17	del
ENSG00000227960	17	del
ENSG00000234953	17	del
ENSG00000234683	17	del
ENSG00000224494	17	del
ENSG00000242598	17	del
ENSG00000236676	17	del
ENSG00000011007	2	del
ENSG00000236810	2	del
ENSG00000057757	2	del
ENSG00000233290	17	del
ENSG00000236268	17	del
ENSG00000230817	17	del
ENSG00000285782	17	del
ENSG00000231364	17	del
ENSG00000172031	17	del
ENSG00000233228	17	del
ENSG00000230667	17	del
ENSG00000224678	17	del
ENSG00000233401	17	del
ENSG00000189195	17	del
ENSG00000273487	17	del
ENSG00000226773	17	del
ENSG00000233125	17	del
ENSG00000203910	17	del
ENSG00000237076	17	del
ENSG00000233008	17	del
ENSG00000233061	17	del
ENSG00000137941	17	del
ENSG00000174842	17	del
ENSG00000122484	17	del
ENSG00000229486	17	del
ENSG00000285201	17	del
ENSG00000271576	17	del
ENSG00000162676	17	del
ENSG00000162600	17	del
ENSG00000213540	17	del
ENSG00000142875	17	del
ENSG00000225505	17	del
ENSG00000223787	17	del
ENSG00000234202	17	del
ENSG00000223896	17	del
ENSG00000229992	17	del
ENSG00000067208	17	del
ENSG00000229052	17	del
ENSG00000122406	17	del
ENSG00000154511	17	del
ENSG00000143033	17	del
ENSG00000225297	17	del
ENSG00000229567	17	del
ENSG00000237003	17	del
ENSG00000117500	17	del
ENSG00000223745	17	del
ENSG00000122483	17	del
ENSG00000117505	17	del
ENSG00000226970	17	del
ENSG00000203943	17	del
ENSG00000249237	17	del
ENSG00000240520	17	del
ENSG00000137976	17	del
ENSG00000285361	17	del
ENSG00000174021	17	del
ENSG00000284882	17	del
ENSG00000122432	17	del
ENSG00000117151	17	del
ENSG00000285851	17	del
ENSG00000117133	17	del
ENSG00000229635	17	del
ENSG00000137942	17	del
ENSG00000285374	17	del
ENSG00000180869	17	del
ENSG00000232622	17	del
ENSG00000137936	17	del
ENSG00000270209	17	del
ENSG00000184292	17	del
ENSG00000185839	17	del
ENSG00000224093	17	del
ENSG00000162601	17	del
ENSG00000283445	17	del
ENSG00000177606	17	del
ENSG00000272226	17	del
ENSG00000232453	17	del
ENSG00000234807	17	del
ENSG00000231740	17	del
ENSG00000270457	17	del
ENSG00000241042	17	del
ENSG00000228121	17	del
ENSG00000237352	17	del
ENSG00000224609	17	del
ENSG00000235215	17	del
ENSG00000260464	17	del
ENSG00000067334	17	del
ENSG00000117155	17	del
ENSG00000023909	17	del
ENSG00000223490	17	del
ENSG00000234099	17	del
ENSG00000235794	17	del
ENSG00000232752	17	del
ENSG00000229842	17	del
ENSG00000250890	17	del
ENSG00000236689	17	del
ENSG00000226960	17	del
ENSG00000233129	17	del
ENSG00000285325	17	del
ENSG00000171517	17	del
ENSG00000153898	17	del
ENSG00000198691	17	del
ENSG00000055732	17	del
ENSG00000162643	17	del
ENSG00000172456	17	del
ENSG00000226883	17	del
ENSG00000280099	17	del
ENSG00000097096	17	del
ENSG00000162642	17	del
ENSG00000134709	17	del
ENSG00000282057	17	del
ENSG00000142867	17	del
ENSG00000233482	17	del
ENSG00000153904	17	del
ENSG00000273264	17	del
ENSG00000223653	17	del
ENSG00000226835	17	del
ENSG00000137962	17	del
ENSG00000134716	17	del
ENSG00000178596	17	del
ENSG00000236098	17	del
ENSG00000232918	17	del
