ensemblID	community
ENSG00000120437	13
ENSG00000120526	77
ENSG00000120533	10
ENSG00000120594	13
ENSG00000120616	195
ENSG00000120688	154
ENSG00000120694	223
ENSG00000120705	154
ENSG00000120709	154
ENSG00000120725	15
ENSG00000120727	111
ENSG00000120738	322
ENSG00000120742	155
ENSG00000120784	154
ENSG00000120802	231
ENSG00000120820	13
ENSG00000120832	154
ENSG00000120885	77
ENSG00000120925	13
ENSG00000120942	223
ENSG00000120949	23
ENSG00000121022	195
ENSG00000121060	195
ENSG00000121073	154
ENSG00000121152	117
ENSG00000121211	117
ENSG00000121486	195
ENSG00000121552	70
ENSG00000121578	4
ENSG00000121680	155
ENSG00000121691	154
ENSG00000121774	13
ENSG00000121807	195
ENSG00000121851	155
ENSG00000121879	77
ENSG00000121897	223
ENSG00000121898	77
ENSG00000121900	58
ENSG00000121964	77
ENSG00000121966	153
ENSG00000122008	155
ENSG00000122026	101
ENSG00000122033	15
ENSG00000122034	15
ENSG00000122218	223
ENSG00000122224	223
ENSG00000122257	195
ENSG00000122359	15
ENSG00000122378	15
ENSG00000122386	154
ENSG00000122545	155
ENSG00000122547	77
ENSG00000122557	154
ENSG00000122591	13
ENSG00000122592	13
ENSG00000122642	13
ENSG00000122696	77
ENSG00000122707	13
ENSG00000122729	77
ENSG00000122735	111
ENSG00000122741	4
ENSG00000122786	241
ENSG00000122863	155
ENSG00000122877	322
ENSG00000122882	195
ENSG00000122912	15
ENSG00000122958	13
ENSG00000122971	77
ENSG00000123080	77
ENSG00000123094	13
ENSG00000123095	13
ENSG00000123096	13
ENSG00000123136	195
ENSG00000123243	13
ENSG00000123349	10
ENSG00000123358	322
ENSG00000123395	154
ENSG00000123444	155
ENSG00000123472	77
ENSG00000123485	117
ENSG00000123595	15
ENSG00000123610	154
ENSG00000123728	111
ENSG00000123739	67
ENSG00000123836	13
ENSG00000123908	68
ENSG00000123983	223
ENSG00000124019	101
ENSG00000124067	15
ENSG00000124126	111
ENSG00000124143	4
ENSG00000124160	195
ENSG00000124205	4
ENSG00000124207	69
ENSG00000124212	13
ENSG00000124214	154
ENSG00000124216	153
ENSG00000124217	155
ENSG00000124225	15
ENSG00000124226	155
ENSG00000124228	10
ENSG00000124343	13
ENSG00000124370	10
ENSG00000124383	10
ENSG00000124486	15
ENSG00000124496	70
ENSG00000124532	15
ENSG00000124535	195
ENSG00000124541	72
ENSG00000124562	10
ENSG00000124596	154
ENSG00000124615	77
ENSG00000124659	154
ENSG00000124664	4
ENSG00000124702	15
ENSG00000124762	154
ENSG00000124767	154
ENSG00000124784	77
ENSG00000124788	223
ENSG00000124831	154
ENSG00000124839	4
ENSG00000125037	77
ENSG00000125148	153
ENSG00000125149	154
ENSG00000125170	77
ENSG00000125319	77
ENSG00000125347	153
ENSG00000125375	4
ENSG00000125384	45
ENSG00000125386	12
ENSG00000125430	223
ENSG00000125459	15
ENSG00000125482	10
ENSG00000125503	195
ENSG00000125505	10
ENSG00000125520	4
ENSG00000125629	5
ENSG00000125633	195
ENSG00000125651	10
ENSG00000125652	77
ENSG00000125656	77
ENSG00000125676	10
ENSG00000125730	13
ENSG00000125741	73
ENSG00000125743	10
ENSG00000125827	155
ENSG00000125834	111
ENSG00000125835	3
ENSG00000125844	10
ENSG00000125846	4
ENSG00000125850	4
ENSG00000125944	10
ENSG00000125968	153
ENSG00000126005	195
ENSG00000126062	4
ENSG00000126070	195
ENSG00000126088	15
ENSG00000126091	15
ENSG00000126107	77
ENSG00000126218	13
ENSG00000126243	13
ENSG00000126249	74
ENSG00000126254	341
ENSG00000126267	77
ENSG00000126368	101
ENSG00000126453	10
ENSG00000126457	10
ENSG00000126458	15
ENSG00000126464	154
ENSG00000126524	154
ENSG00000126561	77
ENSG00000126602	70
ENSG00000126653	10
ENSG00000126756	4
ENSG00000126767	77
ENSG00000126775	13
ENSG00000126787	117
ENSG00000126858	77
ENSG00000126878	85
ENSG00000126883	33
ENSG00000126895	23
ENSG00000126934	10
ENSG00000127083	13
ENSG00000127125	154
ENSG00000127184	77
ENSG00000127191	195
ENSG00000127329	341
ENSG00000127418	77
ENSG00000127445	10
ENSG00000127452	14
ENSG00000127481	15
ENSG00000127528	322
ENSG00000127540	77
ENSG00000127564	117
ENSG00000127666	154
ENSG00000127837	10
ENSG00000127884	77
ENSG00000127914	75
ENSG00000127920	4
ENSG00000127922	155
ENSG00000127954	341
ENSG00000128000	76
ENSG00000128016	322
ENSG00000128039	4
ENSG00000128191	10
ENSG00000128228	78
ENSG00000128266	341
ENSG00000128283	4
ENSG00000128284	77
ENSG00000128294	15
ENSG00000128309	77
ENSG00000128311	77
ENSG00000128342	322
ENSG00000128346	155
ENSG00000128573	77
ENSG00000128585	155
ENSG00000128602	13
ENSG00000128607	15
ENSG00000128656	13
