ID	commun	community_type
GO:0070199	232	Intra
GO:0070198	232	Intra
GO:0035036	232	Intra
GO:0032212	232	Intra
GO:1901998	232	Intra
GO:1904358	232	Intra
GO:0006403	232	Intra
GO:0009988	232	Intra
GO:0034504	232	Intra
GO:0032206	232	Intra
GO:0032210	232	Intra
GO:1904356	232	Intra
GO:2000573	232	Intra
GO:0007004	232	Intra
GO:1900182	232	Intra
GO:0070372	230	Inter
GO:0070371	230	Inter
GO:0002548	230	Inter
GO:0006935	230	Inter
GO:0060326	230	Inter
GO:0042330	230	Inter
GO:0071674	230	Inter
GO:0032897	230	Inter
GO:0032496	230	Inter
GO:0002237	230	Inter
GO:0035914	230	Inter
GO:0043922	230	Inter
GO:0072677	230	Inter
GO:0009617	230	Inter
GO:0043901	230	Inter
GO:1990868	230	Inter
GO:1990869	230	Inter
GO:0097529	230	Inter
GO:0070374	230	Inter
GO:0051591	230	Inter
GO:0030595	230	Inter
GO:0046782	230	Inter
GO:0002573	230	Inter
GO:0048525	230	Inter
GO:1901216	230	Inter
GO:0002688	230	Inter
GO:0043921	230	Inter
GO:0052472	230	Inter
GO:0030099	230	Inter
GO:0046683	230	Inter
GO:0052312	230	Inter
GO:0045637	230	Inter
GO:0002761	230	Inter
GO:0014074	230	Inter
GO:0007519	230	Inter
GO:0060538	230	Inter
GO:0009636	230	Inter
GO:0031960	230	Inter
GO:0051592	230	Inter
GO:0048247	230	Inter
GO:0071774	230	Inter
GO:0002521	230	Inter
GO:0002763	230	Inter
GO:0030335	230	Inter
GO:0007517	230	Inter
GO:2000147	230	Inter
GO:0051272	230	Inter
GO:0070098	230	Inter
GO:0040017	230	Inter
GO:0071347	230	Inter
GO:0048514	230	Inter
GO:0048545	230	Inter
GO:0071222	230	Inter
GO:0071219	230	Inter
GO:0002685	230	Inter
GO:0001503	230	Inter
GO:0030593	230	Inter
GO:0070555	230	Inter
GO:0071277	230	Inter
GO:0050900	230	Inter
GO:0051851	230	Inter
GO:0050920	230	Inter
GO:0043900	230	Inter
GO:0035994	230	Inter
GO:0051702	230	Inter
GO:0019083	230	Inter
GO:0071216	230	Inter
GO:0002690	230	Inter
GO:1990266	230	Inter
GO:0050792	230	Inter
GO:0045638	230	Inter
GO:0019080	230	Inter
GO:0071621	230	Inter
GO:0045639	230	Inter
GO:0043903	230	Inter
GO:0009314	230	Inter
GO:0072676	230	Inter
GO:0030316	230	Inter
GO:1903706	230	Inter
GO:0048511	230	Inter
GO:0140131	230	Inter
GO:0001525	230	Inter
GO:0071356	230	Inter
GO:0097530	230	Inter
GO:0007610	230	Inter
GO:1902105	230	Inter
GO:0043410	230	Inter
GO:0014912	230	Inter
GO:0060716	230	Inter
GO:0090025	230	Inter
GO:0051817	230	Inter
GO:0051385	230	Inter
GO:1901623	230	Inter
GO:0034612	230	Inter
GO:0051384	230	Inter
GO:0051403	230	Inter
GO:0001525	349	Inter
GO:0048514	349	Inter
GO:0045765	349	Inter
GO:0007156	349	Inter
GO:0045766	349	Inter
GO:1901342	349	Inter
GO:1904018	349	Inter
GO:0072012	349	Inter
GO:0061437	349	Inter
GO:0061440	349	Inter
GO:0098742	349	Inter
GO:0019933	349	Inter
GO:0019935	349	Inter
GO:0032835	349	Inter
GO:0001570	349	Inter
GO:0048704	134	Intra
GO:0048706	134	Intra
GO:0009952	134	Intra
GO:0048705	134	Intra
GO:0048562	134	Intra
GO:0003002	134	Intra
GO:0007389	134	Intra
GO:0048568	134	Intra
GO:0001501	134	Intra
GO:0048598	134	Intra
GO:0060216	134	Intra
GO:0021602	134	Intra
GO:0021545	134	Intra
GO:0002011	134	Intra
GO:0021675	134	Intra
GO:0006936	350	Inter
GO:0003012	350	Inter
GO:0006939	350	Inter
GO:0008380	408	Intra
GO:0000377	408	Intra
GO:0000398	408	Intra
GO:0000375	408	Intra
GO:0006958	379	Inter
GO:0002455	379	Inter
GO:0030449	379	Inter
GO:2000257	379	Inter
GO:0006956	379	Inter
GO:0002920	379	Inter
GO:0072376	379	Inter
