ID	symbol	community_type
GO:0072422	NUSAP1	-
GO:0007283	NUSAP1	-
GO:0042770	NUSAP1	-
GO:0051443	NUSAP1	-
GO:0031023	NUSAP1	-
GO:0043044	NUSAP1	-
GO:0048232	NUSAP1	-
GO:0051294	NUSAP1	-
GO:0007127	NUSAP1	-
GO:0000082	NUSAP1	-
GO:0032506	NUSAP1	-
GO:0031570	NUSAP1	-
GO:0045143	NUSAP1	-
GO:0002281	TYROBP	-
GO:0032675	TYROBP	-
GO:0032635	TYROBP	-
GO:0032680	TYROBP	-
GO:0032640	TYROBP	-
GO:1903555	TYROBP	-
GO:0071706	TYROBP	-
GO:0002573	TYROBP	-
GO:0032653	TYROBP	-
GO:0032613	TYROBP	-
GO:0002696	TYROBP	-
GO:0050867	TYROBP	-
GO:0032760	TYROBP	-
GO:0032652	TYROBP	-
GO:1903557	TYROBP	-
GO:0042116	TYROBP	-
GO:0032612	TYROBP	-
GO:0030316	TYROBP	-
GO:0030099	TYROBP	-
GO:0001819	TYROBP	-
GO:0002521	TYROBP	-
GO:0002694	TYROBP	-
GO:0042742	TYROBP	-
GO:0050865	TYROBP	-
GO:0002275	TYROBP	-
GO:0045672	TYROBP	-
GO:2000010	TYROBP	-
GO:0060143	TYROBP	-
GO:0060142	TYROBP	-
GO:0043032	TYROBP	-
GO:0001773	TYROBP	-
GO:0032753	TYROBP	-
GO:0032673	TYROBP	-
GO:0032814	TYROBP	-
GO:0045637	TYROBP	-
GO:0032633	TYROBP	-
GO:0032733	TYROBP	-
GO:0097028	TYROBP	-
GO:0070661	TYROBP	-
GO:0001818	TYROBP	-
GO:0006909	TYROBP	-
GO:2000008	TYROBP	-
GO:0001774	TYROBP	-
GO:0002269	TYROBP	-
GO:0032103	TYROBP	-
GO:0000768	TYROBP	-
GO:0043277	TYROBP	-
GO:0140253	TYROBP	-
GO:0006949	TYROBP	-
GO:0032732	TYROBP	-
GO:0002763	TYROBP	-
GO:0006911	TYROBP	-
GO:0043030	TYROBP	-
GO:0061900	TYROBP	-
GO:0032720	TYROBP	-
GO:0150076	TYROBP	-
GO:1903556	TYROBP	-
GO:1903532	TYROBP	-
GO:0045670	TYROBP	-
GO:1903829	TYROBP	-
GO:0099024	TYROBP	-
GO:0030101	TYROBP	-
GO:0050766	TYROBP	-
GO:0051047	TYROBP	-
GO:0032623	TYROBP	-
GO:0034394	TYROBP	-
GO:0098542	TYROBP	-
GO:0001910	TYROBP	-
GO:0010324	TYROBP	-
GO:0032945	TYROBP	-
GO:0050672	TYROBP	-
GO:0032642	TYROBP	-
GO:0032651	TYROBP	-
GO:0070664	TYROBP	-
GO:0032602	TYROBP	-
GO:0032755	TYROBP	-
GO:0002683	TYROBP	-
GO:0031341	TYROBP	-
GO:1901224	TYROBP	-
GO:0045088	TYROBP	-
GO:0032611	TYROBP	-
GO:0050764	TYROBP	-
GO:0045639	TYROBP	-
GO:1903706	TYROBP	-
GO:0009617	TYROBP	-
GO:0002286	TYROBP	-
GO:0031349	TYROBP	-
GO:0001909	TYROBP	-
GO:1902186	ZNF324B	*
GO:0019076	ZNF324B	*
GO:0035890	ZNF324B	*
GO:0035891	ZNF324B	*
GO:0052126	ZNF324B	*
GO:0052192	ZNF324B	*
GO:0006614	RPL35	-
GO:0006613	RPL35	-
GO:0045047	RPL35	-
GO:0072599	RPL35	-
GO:0000184	RPL35	-
GO:0070972	RPL35	-
GO:0019083	RPL35	-
GO:0006612	RPL35	-
GO:0006413	RPL35	-
GO:0019080	RPL35	-
GO:0000956	RPL35	-
GO:0090150	RPL35	-
GO:0006402	RPL35	-
GO:0006401	RPL35	-
GO:0006605	RPL35	-
GO:0072594	RPL35	-
GO:0042254	RPL35	-
GO:0002181	RPL35	-
GO:0022613	RPL35	-
GO:0006364	RPL35	-
GO:0016072	RPL35	-
GO:0042255	RPL35	-
GO:0042274	RPL35	-
GO:0034470	RPL35	-
GO:0042273	RPL35	-
GO:0000028	RPL35	-
GO:0071826	RPL35	-
GO:0022618	RPL35	-
GO:0000027	RPL35	-
GO:0030490	RPL35	-
GO:0000462	RPL35	-
GO:0051444	RPL35	-
GO:2000059	RPL35	-
GO:0000470	RPL35	-
GO:1904666	RPL35	-
GO:0051438	RPL35	-
GO:1903051	RPL35	-
GO:0031397	RPL35	-
GO:1903363	RPL35	-
GO:1903321	RPL35	-
GO:2000058	RPL35	-
GO:1903320	RPL35	-
GO:1901798	RPL35	-
GO:0006417	RPL35	-
GO:2001244	RPL35	-
GO:0042177	RPL35	-
GO:0000076	DTL	-
GO:0006260	DTL	-
GO:0006270	DTL	-
GO:0031570	DTL	-
GO:0000075	DTL	-
GO:0000086	DTL	-
GO:0044839	DTL	-
GO:1902750	DTL	-
GO:0000083	DTL	-
GO:1901990	DTL	-
GO:0006261	DTL	-
GO:0044818	DTL	-
GO:1901987	DTL	-
GO:0031572	DTL	-
GO:0010389	DTL	-
GO:0006418	TTC1	*
GO:0043039	TTC1	*
GO:0043038	TTC1	*
GO:0006399	TTC1	*
GO:0002250	IGLL5	-
GO:0019835	GZMA	-
GO:0002250	GZMA	-
GO:0042110	GZMA	-
GO:0071888	GZMA	-
GO:0002456	GZMA	-
GO:0033033	GZMA	-
GO:0006925	GZMA	-
GO:0002407	GZMA	-
GO:0048511	PER3	-
GO:0048512	PER3	-
GO:0007622	PER3	-
GO:0007623	PER3	-
GO:0032922	PER3	-
GO:0042752	PER3	-
GO:0042749	PER3	-
GO:0042745	PER3	-
GO:0007610	PER3	-
GO:0050795	PER3	-
GO:0048706	HOXA5	*
GO:0009952	HOXA5	*
GO:0048704	HOXA5	*
GO:0003002	HOXA5	*
GO:0007389	HOXA5	*
GO:0001501	HOXA5	*
GO:0048598	HOXA5	*
GO:0048705	HOXA5	*
GO:0048562	HOXA5	*
GO:0048568	HOXA5	*
GO:0045638	HOXA5	*
GO:1903707	HOXA5	*
GO:0030878	HOXA5	*
GO:0045637	HOXA5	*
GO:0030099	HOXA5	*
GO:0048732	HOXA5	*
GO:0002683	HOXA5	*
GO:0030198	COL5A2	-
GO:0043062	COL5A2	-
GO:0030199	COL5A2	-
GO:0070208	COL5A2	-
GO:0043588	COL5A2	-
GO:0071230	COL5A2	-
GO:0043200	COL5A2	-
GO:0001501	COL5A2	-
GO:0070206	COL5A2	-
GO:0071229	COL5A2	-
GO:0032963	COL5A2	-
GO:0051291	COL5A2	-
GO:0001101	COL5A2	-
GO:0035987	COL5A2	-
GO:0060351	COL5A2	-
GO:0001706	COL5A2	-
GO:0001503	COL5A2	-
GO:0007492	COL5A2	-
